dr_no,date_rptd,date_occ,time_occ,area,area_name,rpt_dist_no,part_1-2,crm_cd,crm_cd_desc,mocodes,vict_age,vict_sex,vict_descent,premis_cd,premis_desc,weapon_used_cd,weapon_desc,status,status_desc,crm_cd_1,crm_cd_2,crm_cd_3,crm_cd_4,location,cross_street,lat,lon,year_occ,month_occ
201105686,2020-02-08,2020-02-07,15:50:00,11,Northeast,1113,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0325,0,M,O,203,OTHER BUSINESS,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,440.0,761.0,,,2800    COLORADO                     BL,7TH,34.1428,-118.226,2020,2
200407426,2020-03-30,2020-03-30,18:30:00,4,Hollenbeck,407,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325,0,X,X,242,"DISCOUNT STORE (99 CENT,DOLLAR,ETC.",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,442.0,761.0,,,4600    HUNTINGTON DR,7TH,34.0881,-118.1877,2020,3
201014312,2020-10-22,2020-10-21,20:00:00,10,West Valley,1003,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822 1414 1420 1402 1300 1307,34,M,H,122,"VEHICLE, PASSENGER/TRUCK",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,740.0,998.0,,,18500    SATICOY                      ST,7TH,34.2148,-118.5404,2020,10
200217634,2020-11-19,2020-11-19,18:40:00,2,Rampart,245,2,624,BATTERY - SIMPLE ASSAULT,0913 0603 0400 0361,52,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,998.0,,,2500 W  6TH                          ST,7TH,34.0617,-118.2795,2020,11
201212398,2020-05-07,2020-05-06,18:00:00,12,77th Street,1203,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,32,M,H,108,PARKING LOT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,341.0,998.0,,,5000 S  WESTERN                      AV,7TH,33.998,-118.3089,2020,5
200505875,2020-02-14,2020-02-13,20:30:00,5,Harbor,566,1,510,VEHICLE - STOLEN,0344,0,M,H,108,PARKING LOT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,510.0,998.0,,,1000 S  PACIFIC                      AV,7TH,33.7352,-118.2879,2020,2
201221820,2020-10-02,2020-10-02,06:00:00,12,77th Street,1273,2,624,BATTERY - SIMPLE ASSAULT,1202 1701 2021 0913 0562 0444 0443,85,F,B,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,998.0,,,8800 S  HALLDALE                     AV,7TH,33.9574,-118.3025,2020,10
200715653,2020-11-05,2020-11-05,16:00:00,7,Wilshire,701,1,510,VEHICLE - STOLEN,1202 1701 2021 0913 0562 0444 0443,0,F,B,101,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,510.0,998.0,,,WARING                       AV,N  EDINBURGH                    AV,34.0855,-118.3638,2020,11
201109241,2020-05-11,2020-05-08,15:00:00,11,Northeast,1172,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1202 1701 2021 0913 0562 0444 0443,0,F,B,101,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,420.0,998.0,,,1500    SILVER LAKE                  BL,N  EDINBURGH                    AV,34.0867,-118.2701,2020,5
200816363,2020-11-13,2020-11-06,08:36:00,8,West LA,881,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",0337,73,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,956.0,998.0,,,11600    MISSOURI                     AV,N  EDINBURGH                    AV,34.0391,-118.4506,2020,11
200815583,2020-10-22,2020-10-22,17:00:00,8,West LA,857,1,310,BURGLARY,0344 1822 1606,32,M,W,707,GARAGE/CARPORT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,310.0,998.0,,,1100    GLENVILLE                    DR,N  EDINBURGH                    AV,34.0557,-118.3928,2020,10
200709021,2020-05-07,2020-05-06,17:30:00,7,Wilshire,735,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421,41,F,A,203,OTHER BUSINESS,511.0,VERBAL THREAT,AO,Adult Other,930.0,998.0,,,5400    WILSHIRE                     BL,N  EDINBURGH                    AV,34.0633,-118.3473,2020,5
200200671,2020-04-22,2020-04-22,10:30:00,2,Rampart,292,1,310,BURGLARY,0344 1607 0396,64,M,H,221,PUBLIC STORAGE,511.0,VERBAL THREAT,IC,Invest Cont,310.0,998.0,,,1000 W  WASHINGTON                   BL,N  EDINBURGH                    AV,34.0396,-118.2833,2020,4
200106175,2020-01-31,2020-01-31,08:30:00,1,Central,157,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 1605 1218 0344,49,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511.0,VERBAL THREAT,IC,Invest Cont,341.0,998.0,,,500 S  SAN PEDRO                    ST,N  EDINBURGH                    AV,34.0442,-118.2439,2020,1
200617010,2020-10-22,2020-10-01,14:00:00,6,Hollywood,647,2,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",1300 0913,27,M,H,203,OTHER BUSINESS,511.0,VERBAL THREAT,IC,Invest Cont,668.0,998.0,,,1600 N  GOWER                        ST,N  EDINBURGH                    AV,34.0998,-118.3223,2020,10
201013217,2020-09-18,2020-09-12,00:01:00,10,West Valley,1017,1,820,ORAL COPULATION,0400 0913 0443 0512 0413,30,M,W,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,820.0,998.0,,,17100    COVELLO                      ST,N  EDINBURGH                    AV,34.2075,-118.5068,2020,9
200104594,2020-01-08,2020-01-08,21:45:00,1,Central,152,2,624,BATTERY - SIMPLE ASSAULT,0910 0416 2004 1822,20,M,H,903,MTA - RED LINE - 7TH AND METRO CENTER,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,998.0,,,600 S  FIGUEROA                     ST,N  EDINBURGH                    AV,34.0509,-118.2585,2020,1
200110052,2020-04-04,2020-04-02,20:00:00,1,Central,101,1,510,VEHICLE - STOLEN,0910 0416 2004 1822,0,M,H,101,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,510.0,998.0,,,900    FIGUEROA                     TR,N  EDINBURGH                    AV,34.0663,-118.2441,2020,4
200517669,2020-12-10,2020-12-07,11:00:00,5,Harbor,517,1,510,VEHICLE - STOLEN,0910 0416 2004 1822,0,M,H,101,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,510.0,998.0,,,1100    BROAD                        AV,N  EDINBURGH                    AV,33.7849,-118.2612,2020,12
200510674,2020-06-16,2020-06-15,18:00:00,5,Harbor,526,1,510,VEHICLE - STOLEN,0910 0416 2004 1822,0,M,H,101,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,510.0,998.0,,,FRIES,ANAHEIM,33.7799,-118.265,2020,6
200916925,2020-11-06,2020-11-06,07:00:00,9,Van Nuys,981,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,52,M,W,108,PARKING LOT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,440.0,998.0,,,14800 W  VENTURA                      BL,ANAHEIM,34.154,-118.4674,2020,11
200321746,2020-12-14,2020-11-24,13:55:00,3,Southwest,311,2,354,THEFT OF IDENTITY,0100 0930 0922,41,M,H,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,354.0,998.0,,,5300    CARLIN                       ST,ANAHEIM,34.0299,-118.3595,2020,11
201110606,2020-06-19,2020-06-16,20:02:00,11,Northeast,1123,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344,40,F,W,101,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,331.0,998.0,,,LEGION                       LN,DOVER                        ST,34.121,-118.2685,2020,6
200116446,2020-08-15,2020-08-12,17:00:00,1,Central,164,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0344 0394,41,F,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,440.0,998.0,,,600 S  MAIN                         ST,DOVER                        ST,34.0448,-118.2504,2020,8
200708242,2020-04-13,2020-04-08,17:00:00,7,Wilshire,725,1,310,BURGLARY,0397 0344 0358,52,M,W,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,310.0,998.0,,,100 N  VISTA                        ST,DOVER                        ST,34.0736,-118.3522,2020,4
200617231,2020-10-26,2020-10-26,19:00:00,6,Hollywood,667,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0913 0400 0432 0443 0422 2040 1202,62,M,W,702,OFFICE BUILDING/OFFICE,511.0,VERBAL THREAT,AO,Adult Other,930.0,998.0,,,5800 W  SUNSET                       BL,DOVER                        ST,34.0981,-118.3158,2020,10
200716147,2020-11-19,2020-11-19,18:00:00,7,Wilshire,729,1,210,ROBBERY,0344 0449 0216 0432,34,F,W,102,SIDEWALK,102.0,HAND GUN,IC,Invest Cont,210.0,998.0,,,FIRST                        ST,LARCHMENT                    BL,34.0726,-118.3279,2020,11
200807585,2020-03-22,2020-03-18,10:30:00,8,West LA,833,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0377 1822,50,F,W,702,OFFICE BUILDING/OFFICE,102.0,HAND GUN,IC,Invest Cont,440.0,998.0,,,10900    WILSHIRE                     BL,LARCHMENT                    BL,34.0588,-118.4439,2020,3
200709741,2020-05-28,2020-05-28,14:53:00,7,Wilshire,701,2,624,BATTERY - SIMPLE ASSAULT,0400 0416 1309,31,F,W,203,OTHER BUSINESS,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,998.0,,,8400    MELROSE                      PL,LARCHMENT                    BL,34.0835,-118.3734,2020,5
200111101,2020-04-28,2020-04-28,08:30:00,1,Central,154,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 2004,57,F,B,710,OTHER PREMISE,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,740.0,998.0,,,500 S  MAIN                         ST,LARCHMENT                    BL,34.0467,-118.2485,2020,4
201005417,2020-02-03,2020-02-01,00:01:00,10,West Valley,1008,2,354,THEFT OF IDENTITY,0100 1202 0930 0922,74,M,A,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,354.0,998.0,,,16700    SHERMAN                      WY,LARCHMENT                    BL,34.2077,-118.4912,2020,2
200215572,2020-09-27,2020-07-27,16:00:00,2,Rampart,248,2,850,INDECENT EXPOSURE,0603 0361 0529 1822,42,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,850.0,998.0,,,300    COLUMBIA                     AV,LARCHMENT                    BL,34.0572,-118.2658,2020,7
200105054,2020-01-15,2020-01-10,17:00:00,1,Central,192,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1300 1822 0377 0321 0344,32,F,H,707,GARAGE/CARPORT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,420.0,998.0,,,400 W  PICO                         BL,LARCHMENT                    BL,34.0389,-118.2643,2020,1
200319565,2020-10-29,2020-10-29,16:00:00,3,Southwest,334,2,624,BATTERY - SIMPLE ASSAULT,1822 0329 0416 1300 1309,31,F,O,108,PARKING LOT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,998.0,,,3600    11TH                         AV,LARCHMENT                    BL,34.0216,-118.3296,2020,10
200316589,2020-08-31,2020-08-31,12:45:00,3,Southwest,357,2,624,BATTERY - SIMPLE ASSAULT,0361 0431 0913,19,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500.0,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,624.0,998.0,,,1200    EXPOSITION                   BL,LARCHMENT                    BL,34.0184,-118.2952,2020,8
200708689,2020-04-28,2020-04-27,10:30:00,7,Wilshire,745,1,330,BURGLARY FROM VEHICLE,1822 1300 1307 0344,52,F,W,123,PARKING UNDERGROUND/BUILDING,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,330.0,998.0,,,5600    WILSHIRE                     BL,LARCHMENT                    BL,34.0624,-118.3504,2020,4
201111404,2020-07-14,2020-07-13,16:30:00,11,Northeast,1162,1,450,THEFT FROM PERSON - ATTEMPT,0355,14,F,H,101,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,450.0,998.0,,,1100 N  VERMONT                      AV,LARCHMENT                    BL,34.0909,-118.2917,2020,7
200708936,2020-05-05,2020-05-04,09:20:00,7,Wilshire,701,2,354,THEFT OF IDENTITY,0930 0929,35,F,W,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,354.0,998.0,,,700 N  HAYWORTH                     AV,LARCHMENT                    BL,34.0838,-118.3627,2020,5
201300868,2020-07-20,2020-07-20,02:15:00,13,Newton,1344,1,210,ROBBERY,1822 1402 0344 0432,0,M,H,101,STREET,205.0,KITCHEN KNIFE,AA,Adult Arrest,210.0,998.0,,,CENTRAL                      AV,42ND                         ST,34.0075,-118.2565,2020,7
200711610,2020-07-14,2020-07-13,14:30:00,7,Wilshire,721,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 0344 0378,29,M,B,406,OTHER STORE,205.0,KITCHEN KNIFE,IC,Invest Cont,341.0,998.0,,,8500    BEVERLY                      BL,42ND                         ST,34.0761,-118.3772,2020,7
200619489,2020-12-21,2020-12-21,03:00:00,6,Hollywood,668,1,761,BRANDISH WEAPON,0450 0913 1100 0334 1407 0603 0421 0353,51,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",102.0,HAND GUN,AA,Adult Arrest,753.0,761.0,930.0,998.0,5600    FERNWOOD                     AV,42ND                         ST,34.0958,-118.311,2020,12
200614630,2020-08-28,2020-08-28,15:00:00,6,Hollywood,625,2,888,TRESPASSING,1822 1202 1300 1309,82,F,W,121,YARD (RESIDENTIAL/BUSINESS),102.0,HAND GUN,IC,Invest Cont,888.0,761.0,930.0,998.0,6900    LOS TILOS                    RD,42ND                         ST,34.1091,-118.3431,2020,8
201213202,2020-05-20,2020-05-20,22:30:00,12,77th Street,1235,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,1307 0329 0421 0432 0913 1310 0334,45,M,H,101,STREET,308.0,STICK,IC,Invest Cont,930.0,761.0,930.0,998.0,1500 W  59TH                         ST,42ND                         ST,33.9876,-118.3024,2020,5
201224533,2020-11-16,2020-11-16,00:05:00,12,77th Street,1256,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 0913 1817,53,M,H,108,PARKING LOT,106.0,UNKNOWN FIREARM,AO,Adult Other,230.0,761.0,930.0,998.0,FLORENCE                     AV,MENLO                        AV,33.9746,-118.2892,2020,11
200412397,2020-09-02,2020-08-21,08:00:00,4,Hollenbeck,459,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,46,M,H,232,"DELIVERY SERVICE (FED EX, UPS, COURIERS,COURIER SERVICE)*",106.0,UNKNOWN FIREARM,IC,Invest Cont,440.0,761.0,930.0,998.0,3000    FOLSOM                       ST,MENLO                        AV,34.0441,-118.1978,2020,8
201204978,2020-01-15,2020-01-14,17:30:00,12,77th Street,1269,1,330,BURGLARY FROM VEHICLE,0344 0358,38,M,H,501,SINGLE FAMILY DWELLING,106.0,UNKNOWN FIREARM,IC,Invest Cont,330.0,761.0,930.0,998.0,400 E  83RD                         ST,MENLO                        AV,33.9638,-118.2673,2020,1
200506064,2020-02-18,2020-02-18,17:30:00,5,Harbor,529,2,624,BATTERY - SIMPLE ASSAULT,0602 0913 2024 0417 0562,31,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",JA,Juv Arrest,624.0,761.0,930.0,998.0,900    BANNING                      BL,MENLO                        AV,33.7817,-118.2574,2020,2
200118974,2020-10-06,2020-09-29,13:40:00,1,Central,124,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0443 1822,22,M,H,102,SIDEWALK,511.0,VERBAL THREAT,IC,Invest Cont,930.0,761.0,930.0,998.0,100 W  1ST                          ST,MENLO                        AV,34.0522,-118.2434,2020,9
201113027,2020-08-29,2020-08-28,23:35:00,11,Northeast,1184,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0385,58,F,W,104,DRIVEWAY,511.0,VERBAL THREAT,IC,Invest Cont,331.0,761.0,930.0,998.0,1800    PARK                         DR,MENLO                        AV,34.0812,-118.252,2020,8
200915605,2020-10-06,2020-10-06,09:30:00,9,Van Nuys,964,2,354,THEFT OF IDENTITY,0344 1822,33,M,H,108,PARKING LOT,511.0,VERBAL THREAT,IC,Invest Cont,354.0,761.0,930.0,998.0,4700    WOODMAN                      AV,MENLO                        AV,34.1603,-118.4399,2020,10
200809661,2020-05-19,2020-05-18,17:30:00,8,West LA,852,1,330,BURGLARY FROM VEHICLE,0344 1822 0321,33,F,W,104,DRIVEWAY,511.0,VERBAL THREAT,IC,Invest Cont,330.0,761.0,930.0,998.0,1600    BARRY                        AV,MENLO                        AV,34.0432,-118.4541,2020,5
200604700,2020-01-16,2020-01-15,00:01:00,6,Hollywood,645,1,330,BURGLARY FROM VEHICLE,0344 0358 1300 1609,35,M,O,101,STREET,511.0,VERBAL THREAT,IC,Invest Cont,330.0,761.0,930.0,998.0,HAWTHORN                     AV,SYCAMORE                     AV,34.1004,-118.3433,2020,1
200305025,2020-01-18,2020-01-18,14:00:00,3,Southwest,398,1,510,VEHICLE - STOLEN,0344 0358 1300 1609,0,M,O,101,STREET,511.0,VERBAL THREAT,IC,Invest Cont,510.0,761.0,930.0,998.0,600 W  VERNON                       AV,SYCAMORE                     AV,34.0074,-118.285,2020,1
200409165,2020-05-24,2020-05-24,01:35:00,4,Hollenbeck,416,2,753,DISCHARGE FIREARMS/SHOTS FIRED,1100 1407,0,M,X,101,STREET,106.0,UNKNOWN FIREARM,IC,Invest Cont,753.0,998.0,930.0,998.0,LINCOLN PARK                 AV,POMONA                       ST,34.0787,-118.2028,2020,5
200908879,2020-04-24,2020-02-05,08:00:00,9,Van Nuys,926,2,662,"BUNCO, GRAND THEFT",0100 0344 0924 1822,34,M,O,710,OTHER PREMISE,106.0,UNKNOWN FIREARM,IC,Invest Cont,662.0,998.0,930.0,998.0,14400    HAMLIN                       ST,POMONA                       ST,34.1887,-118.4465,2020,2
200613265,2020-07-30,2020-07-29,07:30:00,6,Hollywood,628,1,510,VEHICLE - STOLEN,0100 0344 0924 1822,0,M,O,101,STREET,106.0,UNKNOWN FIREARM,IC,Invest Cont,510.0,998.0,930.0,998.0,5900    CHULA VISTA                  WY,POMONA                       ST,34.1074,-118.3193,2020,7
200507119,2020-03-12,2020-02-01,00:01:00,5,Harbor,567,2,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0400 0416 1258 0553 0913,10,F,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,627.0,998.0,930.0,998.0,1700 S  PACIFIC                      AV,POMONA                       ST,33.7288,-118.288,2020,2
201107194,2020-03-11,2020-03-11,11:00:00,11,Northeast,1118,1,510,VEHICLE - STOLEN,0400 0416 1258 0553 0913,0,F,O,108,PARKING LOT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,510.0,998.0,930.0,998.0,5600 N  FIGUEROA                     ST,POMONA                       ST,34.114,-118.1949,2020,3
200416216,2020-12-23,2020-12-22,18:00:00,4,Hollenbeck,412,1,330,BURGLARY FROM VEHICLE,1302 1307,40,F,B,101,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,330.0,998.0,930.0,998.0,100 N  AVENUE 23,POMONA                       ST,34.0757,-118.2177,2020,12
200608743,2020-04-05,2020-04-05,16:00:00,6,Hollywood,645,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2004 0329 2028,52,F,H,403,DRUG STORE,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,740.0,998.0,930.0,998.0,7000 W  HOLLYWOOD                    BL,POMONA                       ST,34.1015,-118.3425,2020,4
200618728,2020-12-01,2020-12-01,02:35:00,6,Hollywood,663,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2004 1822 0416 0400 1218,40,F,A,102,SIDEWALK,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,230.0,998.0,930.0,998.0,1000 N  MANSFIELD                    AV,POMONA                       ST,34.0889,-118.3405,2020,12
200321294,2020-12-05,2020-12-05,12:30:00,3,Southwest,397,2,624,BATTERY - SIMPLE ASSAULT,1822 0342 0400 0329 2024 1236,46,F,H,242,"DISCOUNT STORE (99 CENT,DOLLAR,ETC.",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,998.0,930.0,998.0,4300 S  VERMONT                      AV,POMONA                       ST,34.0073,-118.298,2020,12
200322296,2020-12-26,2020-12-26,19:00:00,3,Southwest,397,2,625,OTHER ASSAULT,0416 0446 1277 1309 1822,58,M,H,102,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,625.0,998.0,930.0,998.0,4000 S  NORMANDIE                    AV,POMONA                       ST,34.0103,-118.3002,2020,12
201113970,2020-09-25,2020-09-21,09:42:00,11,Northeast,1162,2,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",0330 1300 0601,0,X,X,203,OTHER BUSINESS,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,668.0,998.0,930.0,998.0,4500 W  HOLLYWOOD                    BL,POMONA                       ST,34.0984,-118.2874,2020,9
200219047,2020-12-27,2020-12-27,16:30:00,2,Rampart,218,1,510,VEHICLE - STOLEN,0330 1300 0601,0,X,X,101,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,510.0,998.0,930.0,998.0,PARK                         ST,GLENDALE                     BL,34.0763,-118.2613,2020,12
200407117,2020-03-20,2020-03-20,02:30:00,4,Hollenbeck,455,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,44,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,740.0,998.0,930.0,998.0,700    CORNWELL                     ST,GLENDALE                     BL,34.0523,-118.2068,2020,3
200117988,2020-09-15,2020-09-03,20:00:00,1,Central,111,1,510,VEHICLE - STOLEN,0329,0,M,H,707,GARAGE/CARPORT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,510.0,998.0,930.0,998.0,500 N  FIGUEROA                     ST,GLENDALE                     BL,34.0615,-118.247,2020,9
201306108,2020-02-06,2020-02-06,12:25:00,13,Newton,1303,1,330,BURGLARY FROM VEHICLE,1307 0344,24,F,H,101,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,330.0,998.0,930.0,998.0,1000    WALL                         ST,GLENDALE                     BL,34.0376,-118.2531,2020,2
201215288,2020-06-24,2020-06-24,09:30:00,12,77th Street,1253,1,761,BRANDISH WEAPON,0334 1822 1218,66,M,B,101,STREET,109.0,SEMI-AUTOMATIC PISTOL,AO,Adult Other,761.0,998.0,930.0,998.0,79TH                         ST,CIMARRON                     ST,33.9673,-118.3156,2020,6
200115686,2020-08-01,2020-08-01,01:00:00,1,Central,162,1,330,BURGLARY FROM VEHICLE,0344 0377 1822 1606 1300,21,F,B,123,PARKING UNDERGROUND/BUILDING,109.0,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,330.0,998.0,930.0,998.0,800 S  OLIVE                        ST,CIMARRON                     ST,34.0437,-118.2582,2020,8
200615196,2020-09-07,2020-09-07,18:30:00,6,Hollywood,679,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1822,34,M,H,108,PARKING LOT,109.0,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,341.0,998.0,930.0,998.0,5200    SANTA MONICA                 BL,CIMARRON                     ST,34.0908,-118.303,2020,9
200205103,2020-01-22,2020-01-21,22:00:00,2,Rampart,217,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1822 1609 0329,25,F,W,122,"VEHICLE, PASSENGER/TRUCK",109.0,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,740.0,998.0,930.0,998.0,1600    PALO ALTO                    ST,CIMARRON                     ST,34.0697,-118.2626,2020,1
201016381,2020-12-24,2020-12-24,22:54:00,10,West Valley,1001,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1822 1906,50,F,W,101,STREET,109.0,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,956.0,998.0,930.0,998.0,19000    INGOMAR                      ST,CIMARRON                     ST,34.212,-118.5475,2020,12
200712903,2020-08-18,2020-08-18,20:15:00,7,Wilshire,711,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0444,25,M,B,503,HOTEL,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,998.0,930.0,998.0,8400    BEVERLY                      BL,CIMARRON                     ST,34.0782,-118.3695,2020,8
201307940,2020-03-11,2020-03-11,09:00:00,13,Newton,1317,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),2000 0444,0,M,B,101,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,420.0,998.0,930.0,998.0,OLYMPIC                      BL,LONG BEACH                   BL,34.0293,-118.241,2020,3
